Time;temp.mean;dewpoint.mean
2017-08-04T14:48:35-04:00;null;null
2017-08-04T14:48:40-04:00;null;null
2017-08-04T14:48:45-04:00;null;null
2017-08-04T14:48:50-04:00;null;null
2017-08-04T14:48:55-04:00;null;null
2017-08-04T14:49:00-04:00;null;null
2017-08-04T14:49:05-04:00;null;null
2017-08-04T14:49:10-04:00;null;null
2017-08-04T14:49:15-04:00;null;null
2017-08-04T14:49:20-04:00;null;null
2017-08-04T14:49:25-04:00;null;null
2017-08-04T14:49:30-04:00;null;null
2017-08-04T14:49:35-04:00;null;null
2017-08-04T14:49:40-04:00;null;null
2017-08-04T14:49:45-04:00;null;null
2017-08-04T14:49:50-04:00;null;null
2017-08-04T14:49:55-04:00;null;null
2017-08-04T14:50:00-04:00;null;null
2017-08-04T14:50:05-04:00;null;null
2017-08-04T14:50:10-04:00;null;null
2017-08-04T14:50:15-04:00;null;null
2017-08-04T14:50:20-04:00;null;null
2017-08-04T14:50:25-04:00;null;null
2017-08-04T14:50:30-04:00;null;null
2017-08-04T14:50:35-04:00;null;null
2017-08-04T14:50:40-04:00;null;null
2017-08-04T14:50:45-04:00;null;null
2017-08-04T14:50:50-04:00;null;null
2017-08-04T14:50:55-04:00;null;null
2017-08-04T14:51:00-04:00;null;null
2017-08-04T14:51:05-04:00;null;null
2017-08-04T14:51:10-04:00;null;null
2017-08-04T14:51:15-04:00;null;null
2017-08-04T14:51:20-04:00;null;null
2017-08-04T14:51:25-04:00;null;null
2017-08-04T14:51:30-04:00;null;null
2017-08-04T14:51:35-04:00;null;null
2017-08-04T14:51:40-04:00;null;null
2017-08-04T14:51:45-04:00;null;null
2017-08-04T14:51:50-04:00;null;null
2017-08-04T14:51:55-04:00;null;null
2017-08-04T14:52:00-04:00;null;null
2017-08-04T14:52:05-04:00;null;null
2017-08-04T14:52:10-04:00;null;null
2017-08-04T14:52:15-04:00;null;null
2017-08-04T14:52:20-04:00;null;null
2017-08-04T14:52:25-04:00;null;null
2017-08-04T14:52:30-04:00;null;null
2017-08-04T14:52:35-04:00;null;null
2017-08-04T14:52:40-04:00;null;null
2017-08-04T14:52:45-04:00;null;null
2017-08-04T14:52:50-04:00;null;null
2017-08-04T14:52:55-04:00;null;null
2017-08-04T14:53:00-04:00;null;null
2017-08-04T14:53:05-04:00;null;null
2017-08-04T14:53:10-04:00;null;null
2017-08-04T14:53:15-04:00;null;null
2017-08-04T14:53:20-04:00;null;null
2017-08-04T14:53:25-04:00;null;null
2017-08-04T14:53:30-04:00;null;null
2017-08-04T14:53:35-04:00;null;null
2017-08-04T14:53:40-04:00;null;null
2017-08-04T14:53:45-04:00;null;null
2017-08-04T14:53:50-04:00;null;null
2017-08-04T14:53:55-04:00;null;null
2017-08-04T14:54:00-04:00;null;null
2017-08-04T14:54:05-04:00;null;null
2017-08-04T14:54:10-04:00;null;null
2017-08-04T14:54:15-04:00;null;null
2017-08-04T14:54:20-04:00;null;null
2017-08-04T14:54:25-04:00;null;null
2017-08-04T14:54:30-04:00;null;null
2017-08-04T14:54:35-04:00;null;null
2017-08-04T14:54:40-04:00;null;null
2017-08-04T14:54:45-04:00;null;null
2017-08-04T14:54:50-04:00;null;null
2017-08-04T14:54:55-04:00;null;null
2017-08-04T14:55:00-04:00;null;null
